Date,Ask,Bid,Mid,Spread,without prompt,with prompt
2023-01-11 23:26:00,6.7676,6.7668,6.7672,0.0004,0,0
2023-01-11 23:25:00,6.7677,6.7669,6.7673,0.0004,0,0
2023-01-11 23:24:00,6.7681,6.7673,6.7677,0.0004,0,0
2023-01-11 23:23:00,6.768,6.7672,6.7676,0.0004,0,0
2023-01-11 23:22:00,6.7685,6.7677,6.7681,0.0004,0,0
2023-01-11 23:21:00,6.7686,6.7678,6.7682,0.0004,0,0
2023-01-11 23:20:00,6.7685,6.7677,6.7681,0.0004,0,0
2023-01-11 23:19:00,6.7682,6.7674,6.7678,0.0004,0,0
2023-01-11 23:18:00,6.768,6.7673,6.76765,0.00035,0,0
2023-01-11 23:17:00,6.7675,6.7668,6.76715,0.00035,0,0
2023-01-11 23:16:00,6.7679,6.7671,6.7675,0.0004,0,0
2023-01-11 23:15:00,6.7672,6.7664,6.7668,0.0004,0,0
2023-01-11 23:14:00,6.7673,6.7665,6.7669,0.0004,0,0
2023-01-11 23:13:00,6.7669,6.7663,6.7666,0.0003,0,0
2023-01-11 23:12:00,6.7661,6.7654,6.76575,0.00035,0,0
2023-01-11 23:11:00,6.7655,6.7647,6.7651,0.0004,0,0
2023-01-11 23:10:00,6.7634,6.7626,6.763,0.0004,0,0
2023-01-11 23:09:00,6.7643,6.7635,6.7639,0.0004,0,0
2023-01-11 23:08:00,6.7651,6.7645,6.7648,0.0003,0,0
2023-01-11 23:07:00,6.7649,6.7641,6.7645,0.0004,0,0
2023-01-11 23:06:00,6.765,6.7642,6.7646,0.0004,0,0
2023-01-11 23:05:00,6.7654,6.7646,6.765,0.0004,0,0
2023-01-11 23:04:00,6.7653,6.7645,6.7649,0.0004,0,0
2023-01-11 23:03:00,6.7647,6.764,6.76435,0.00035,0,0
2023-01-11 23:02:00,6.765,6.7643,6.76465,0.00035,0,0
2023-01-11 23:01:00,6.7644,6.7637,6.76405,0.00035,0,0
2023-01-11 23:00:00,6.7646,6.7639,6.76425,0.00035,0,0
2023-01-11 22:59:00,6.7652,6.7646,6.7649,0.0003,0,0
2023-01-11 22:58:00,6.7662,6.7656,6.7659,0.0003,0,0
2023-01-11 22:57:00,6.7665,6.7658,6.76615,0.00035,0,0
2023-01-11 22:56:00,6.7663,6.7656,6.76595,0.00035,0,0
2023-01-11 22:55:00,6.7658,6.765,6.7654,0.0004,0,0
2023-01-11 22:54:00,6.7649,6.7642,6.76455,0.00035,0,0
2023-01-11 22:53:00,6.7657,6.765,6.76535,0.00035,0,0
2023-01-11 22:52:00,6.7662,6.7656,6.7659,0.0003,0,0
2023-01-11 22:51:00,6.7661,6.7654,6.76575,0.00035,0,0
2023-01-11 22:50:00,6.7665,6.7659,6.7662,0.0003,0,0
2023-01-11 22:49:00,6.7665,6.7659,6.7662,0.0003,0,0
2023-01-11 22:48:00,6.7663,6.7657,6.766,0.0003,0,0
2023-01-11 22:47:00,6.7663,6.7656,6.76595,0.00035,0,0
2023-01-11 22:46:00,6.7665,6.7657,6.7661,0.0004,0,0
2023-01-11 22:45:00,6.7663,6.7656,6.76595,0.00035,0,0
2023-01-11 22:44:00,6.766,6.7654,6.7657,0.0003,0,0
2023-01-11 22:43:00,6.7665,6.7658,6.76615,0.00035,0,0
2023-01-11 22:42:00,6.7665,6.7658,6.76615,0.00035,0,0
2023-01-11 22:41:00,6.7675,6.7669,6.7672,0.0003,0,0
2023-01-11 22:40:00,6.7674,6.7668,6.7671,0.0003,0,0
2023-01-11 22:39:00,6.7677,6.767,6.76735,0.00035,0,0
2023-01-11 22:38:00,6.7679,6.7673,6.7676,0.0003,0,0
2023-01-11 22:37:00,6.7677,6.7671,6.7674,0.0003,0,0
2023-01-11 22:36:00,6.7671,6.7666,6.76685,0.00025,0,0
2023-01-11 22:35:00,6.767,6.7664,6.7667,0.0003,0,0
2023-01-11 22:34:00,6.7671,6.7665,6.7668,0.0003,0,0
2023-01-11 22:33:00,6.7669,6.7662,6.76655,0.00035,0,0
2023-01-11 22:32:00,6.7668,6.766,6.7664,0.0004,0,0
2023-01-11 22:31:00,6.7666,6.7659,6.76625,0.00035,0,0
2023-01-11 22:30:00,6.7674,6.7667,6.76705,0.00035,0,0
2023-01-11 22:29:00,6.7659,6.7651,6.7655,0.0004,0,0
2023-01-11 22:28:00,6.7653,6.7646,6.76495,0.00035,0,0
2023-01-11 22:27:00,6.7656,6.7649,6.76525,0.00035,0,0
2023-01-11 22:26:00,6.7652,6.7645,6.76485,0.00035,0,0
2023-01-11 22:25:00,6.764,6.7635,6.76375,0.00025,0,0
2023-01-11 22:24:00,6.7649,6.7643,6.7646,0.0003,0,0
2023-01-11 22:23:00,6.7649,6.7643,6.7646,0.0003,0,0
2023-01-11 22:22:00,6.7652,6.7646,6.7649,0.0003,0,0
2023-01-11 22:21:00,6.7657,6.765,6.76535,0.00035,0,0
2023-01-11 22:20:00,6.7656,6.765,6.7653,0.0003,0,0
2023-01-11 22:19:00,6.7649,6.7643,6.7646,0.0003,0,0
2023-01-11 22:18:00,6.765,6.7645,6.76475,0.00025,0,0
2023-01-11 22:17:00,6.7641,6.7634,6.76375,0.00035,0,0
2023-01-11 22:16:00,6.764,6.7635,6.76375,0.00025,0,0
2023-01-11 22:15:00,6.7642,6.7637,6.76395,0.00025,0,0
2023-01-11 22:14:00,6.7642,6.7637,6.76395,0.00025,0,0
2023-01-11 22:13:00,6.7638,6.7632,6.7635,0.0003,0,0
2023-01-11 22:12:00,6.7632,6.7626,6.7629,0.0003,0,0
2023-01-11 22:11:00,6.7626,6.7621,6.76235,0.00025,0,0
2023-01-11 22:10:00,6.7612,6.7606,6.7609,0.0003,0,0
2023-01-11 22:09:00,6.762,6.7614,6.7617,0.0003,0,0
2023-01-11 22:08:00,6.7635,6.7631,6.7633,0.0002,0,0
2023-01-11 22:07:00,6.7636,6.7631,6.76335,0.00025,0,0
2023-01-11 22:06:00,6.7637,6.7632,6.76345,0.00025,0,0
2023-01-11 22:05:00,6.7642,6.7638,6.764,0.0002,0,0
2023-01-11 22:04:00,6.7644,6.7638,6.7641,0.0003,0,0
2023-01-11 22:03:00,6.7643,6.7637,6.764,0.0003,0,0
2023-01-11 22:02:00,6.7648,6.7642,6.7645,0.0003,0,0
2023-01-11 22:01:00,6.7648,6.7642,6.7645,0.0003,0,0
